Date,GEO Region_Asia,GEO Region_Australia / Oceania,GEO Region_Canada,GEO Region_Europe,GEO Region_Mexico,Passenger Count,GEO Region_US
2006-04-30,0.0,0.0,0.0,1.0,0.0,188428.0,0.0
2006-04-30,0.0,0.0,1.0,0.0,0.0,90916.0,0.0
2006-04-30,0.0,1.0,0.0,0.0,0.0,34982.0,0.0
2006-04-30,1.0,0.0,0.0,0.0,0.0,326775.0,0.0
2006-04-30,0.0,0.0,0.0,0.0,0.0,1745803.0,1.0
2006-04-30,0.0,0.0,0.0,0.0,0.0,325661.0,1.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,8854.0,0.0
2006-05-31,0.0,0.0,0.0,0.0,1.0,54840.0,0.0
2006-05-31,0.0,0.0,0.0,1.0,0.0,197401.0,0.0
2006-05-31,0.0,0.0,1.0,0.0,0.0,98411.0,0.0
2006-05-31,0.0,1.0,0.0,0.0,0.0,31516.0,0.0
2006-05-31,1.0,0.0,0.0,0.0,0.0,347529.0,0.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,1858681.0,1.0
2006-05-31,0.0,0.0,0.0,0.0,0.0,249168.0,1.0
2006-06-30,0.0,0.0,0.0,0.0,0.0,9776.0,0.0
2006-06-30,0.0,0.0,0.0,0.0,1.0,60041.0,0.0
2006-06-30,0.0,0.0,0.0,1.0,0.0,206720.0,0.0
2006-06-30,0.0,0.0,1.0,0.0,0.0,110620.0,0.0
2006-06-30,0.0,1.0,0.0,0.0,0.0,43293.0,0.0
2006-06-30,1.0,0.0,0.0,0.0,0.0,363732.0,0.0
2006-06-30,0.0,0.0,0.0,0.0,0.0,2019054.0,1.0
2006-06-30,0.0,0.0,0.0,0.0,0.0,278601.0,1.0
2006-07-31,0.0,0.0,0.0,0.0,0.0,12459.0,0.0
2006-07-31,0.0,0.0,0.0,0.0,1.0,65494.0,0.0
2006-07-31,0.0,0.0,0.0,1.0,0.0,215727.0,0.0
2006-07-31,0.0,0.0,1.0,0.0,0.0,134692.0,0.0
2006-07-31,0.0,1.0,0.0,0.0,0.0,51426.0,0.0
2006-07-31,1.0,0.0,0.0,0.0,0.0,366890.0,0.0
